user_id,book_id,rating
2,33,4
4,45,4
6,6351,4
1,2738,3
4,33,3
4,11,4
9,33,3
9,11,1
9,1055,4
11,11,4
11,33,4
15,11,5
15,33,5
18,662,4
8,45,3
24,378,4
24,7770,4
24,2738,4
24,33,4
24,662,5
25,4602,4
25,5730,5
32,848,3
32,236,4
32,33,4
40,436,4
22,45,5
31,33,3
24,11,4
58,11,4
55,520,4
61,11,5
61,33,3
61,273,3
53,4602,1
65,180,4
72,1714,5
72,118,5
72,848,4
73,380,5
73,180,3
73,2403,5
59,662,4
59,378,4
59,6921,4
59,5730,4
75,11,5
75,1714,4
75,662,4
75,378,4
76,45,4
76,828,5
76,2451,4
25,8555,4
85,33,4
85,45,4
25,662,5
54,11,5
54,378,5
78,180,1
45,662,5
73,118,4
78,828,3
76,7806,3
89,380,5
93,11,5
89,1055,5
80,118,3
4,436,3
58,6921,4
89,4602,4
83,916,4
89,180,4
94,180,3
94,6921,4
89,45,4
34,3923,3
66,828,3
40,11,2
45,378,4
45,6921,3
100,11,3
100,33,4
100,5730,4
26,45,4
26,180,4
26,1714,4
103,11,4
108,11,5
80,3156,3
80,3048,5
80,8355,3
58,378,4
58,5730,3
100,180,4
112,2284,5
103,45,5
103,520,4
113,3708,2
113,180,5
113,6838,2
113,6079,3
108,45,4
100,4602,4
18,11,3
117,7806,5
86,6921,5
123,45,4
86,11,5
86,5730,5
86,4602,2
124,4769,5
124,6144,3
125,11,5
125,33,5
125,662,5
125,378,4
125,5794,5
125,9111,4
125,45,4
125,3311,4
125,1714,4
125,118,4
63,5730,3
89,1099,3
86,7806,4
126,11,3
126,2738,3
126,45,4
128,5037,4
124,7327,4
128,40,3
124,3048,3
125,2540,5
124,180,3
125,1888,5
137,6364,5
135,180,3
135,1384,4
115,5648,3
141,6364,2
142,520,5
142,430,5
142,380,4
142,1703,3
142,916,4
143,45,3
143,11,5
115,118,3
142,2440,5
142,6364,4
142,45,3
128,2284,3
128,430,5
142,33,3
149,662,3
149,33,4
149,11,1
149,45,3
89,33,3
142,1205,5
156,11,4
125,916,3
66,5730,2
164,11,5
78,5730,3
36,662,4
36,828,4
36,2451,3
22,7630,5
108,430,4
108,6726,3
66,4602,2
167,180,4
167,3106,5
169,33,4
169,45,5
175,3048,3
169,180,5
66,180,5
180,11,4
177,33,4
112,5448,5
112,1055,5
183,33,3
183,430,4
183,380,4
171,236,3
177,11,5
185,520,5
185,430,4
185,236,4
187,33,5
187,436,1
184,33,3
183,1888,4
183,5274,4
171,9978,4
112,662,5
112,378,4
112,2967,4
112,436,4
168,6364,5
168,8716,4
168,380,4
168,430,4
168,1703,2
168,520,4
168,3828,2
168,8973,4
168,1055,4
168,9966,4
168,5947,2
168,4828,4
168,45,5
106,8555,2
195,45,4
199,11,5
199,33,5
179,2967,2
10,11,3
10,33,3
10,45,5
94,33,3
179,33,3
179,2738,2
203,33,3
204,11,4
204,662,3
206,378,4
185,11,4
194,520,4
194,916,2
220,1586,4
223,45,4
223,33,4
219,45,3
228,45,4
228,118,2
228,1714,3
228,461,3
228,3540,3
206,33,4
232,4872,2
232,3106,5
232,662,5
232,378,4
179,3232,4
179,11,3
229,11,4
237,11,5
237,45,5
237,662,4
237,378,5
237,6885,2
229,662,5
229,378,4
239,662,4
239,11,4
239,378,4
230,11,5
206,45,3
245,378,4
240,273,5
246,4118,3
247,11,5
137,45,5
212,180,3
242,33,4
245,2612,4
245,436,4
242,2440,1
246,1270,3
246,380,5
246,3156,2
248,916,3
253,33,4
237,118,4
237,33,3
256,11,4
56,2284,3
257,1055,5
257,2440,3
257,8973,4
257,9966,4
257,2612,3
247,45,4
247,33,2
247,4602,3
247,828,5
258,33,4
258,11,4
257,662,5
257,378,4
257,180,4
162,461,1
263,11,3
263,33,3
263,45,5
264,33,4
264,11,5
265,378,5
265,3156,3
265,33,4
246,1205,5
207,11,3
269,11,3
242,8538,5
274,3708,4
274,33,4
112,9111,5
276,11,4
242,380,2
176,180,4
247,4250,5
285,1055,4
286,33,4
286,11,5
179,45,4
243,436,4
256,916,3
243,378,4
243,2967,3
243,2284,2
174,11,5
243,3156,4
243,6726,2
243,3708,4
278,11,4
278,45,4
278,273,4
174,40,5
174,33,4
174,378,5
215,1714,4
215,118,4
112,3708,4
112,5274,4
112,5630,4
247,436,3
185,3675,4
300,662,4
300,6364,2
210,5730,4
300,6921,1
299,436,5
210,33,4
303,45,4
215,4118,3
215,436,4
253,9966,3
253,45,5
325,11,4
324,1714,4
258,40,3
322,461,3
215,461,4
332,45,5
322,2181,4
338,11,5
233,180,3
233,1586,2
312,1327,5
340,45,3
345,11,5
345,7205,3
324,2181,4
324,461,3
175,916,4
270,9078,2
319,8788,3
319,461,3
319,180,5
347,180,5
338,33,4
65,1055,5
65,2440,5
242,40,5
319,45,5
242,3048,2
352,378,4
352,436,4
187,236,5
187,118,5
187,11,5
187,662,3
187,45,3
187,916,2
340,2540,3
340,3106,3
340,1586,3
131,662,3
131,5730,5
304,6921,3
270,1099,3
352,45,4
352,9650,4
352,461,5
357,1586,4
357,6727,3
69,45,4
175,180,4
364,723,5
364,33,2
364,11,4
364,40,3
207,6813,2
187,3708,5
187,1714,5
187,1487,5
187,2967,5
187,1888,5
361,118,2
364,378,4
364,4057,5
38,7806,5
154,1055,3
303,6727,4
375,11,4
375,33,4
375,45,4
316,378,4
385,11,5
387,33,2
385,4250,3
331,2594,3
331,45,1
389,1055,5
389,2440,3
389,520,5
389,828,3
389,380,3
388,916,4
301,8555,4
301,180,3
301,6144,4
301,403,4
385,378,5
385,33,5
222,4872,3
89,520,4
69,662,5
237,3021,5
237,2967,5
387,45,3
372,2451,5
372,828,5
372,2724,4
229,33,4
399,8367,3
399,662,4
399,436,3
338,378,4
403,378,4
403,11,4
403,33,4
396,11,3
396,461,4
396,33,3
396,273,3
396,2738,2
396,45,4
59,33,4
403,9025,4
401,1793,1
63,33,4
284,1085,3
413,33,4
417,2284,3
320,1099,4
403,118,5
9,45,4
399,180,4
187,2738,4
187,7458,4
285,1085,3
285,1793,2
226,6727,5
406,5437,3
410,3540,3
410,3828,4
427,4872,3
427,8996,5
427,236,4
427,33,4
427,45,4
401,6867,2
429,430,3
403,1888,5
427,916,3
366,11,5
439,33,3
439,11,4
439,378,3
439,662,3
439,5932,4
439,4473,2
439,40,1
439,916,4
439,45,3
416,11,4
416,33,4
416,118,4
439,436,4
401,5448,4
423,8355,4
444,5155,5
444,9679,2
446,11,4
446,33,5
446,273,4
447,11,3
447,461,2
449,2724,4
449,461,4
366,2440,4
366,7917,2
366,3675,3
453,180,5
453,118,3
245,45,4
245,33,4
245,461,4
455,33,4
456,378,4
456,2284,3
456,40,3
456,4473,3
456,828,3
456,1888,5
456,9111,3
229,40,5
454,45,4
463,430,3
463,5155,5
463,33,4
468,11,5
416,378,4
366,8664,3
480,236,5
480,45,4
480,11,4
420,662,4
420,378,2
420,45,3
420,11,2
420,4872,2
420,436,4
420,2852,2
420,236,2
420,828,4
420,2451,2
485,1714,5
485,118,4
485,3311,4
488,11,4
489,33,4
489,378,4
489,916,4
367,1487,4
456,436,5
124,436,4
495,45,4
495,662,5
114,11,2
456,236,2
495,378,4
495,2403,4
495,1055,5
499,33,4
499,11,4
499,45,4
499,378,3
499,436,4
497,436,5
497,1055,5
488,180,3
488,378,5
488,45,5
506,45,2
506,118,4
506,1714,3
506,848,3
490,33,3
511,4189,2
511,461,1
338,520,5
475,520,4
475,430,2
475,1270,3
475,380,4
513,662,4
338,180,4
475,1055,4
513,461,5
443,662,4
516,5630,3
516,1915,5
516,520,4
516,180,5
473,118,4
473,1714,3
473,848,3
518,236,5
517,45,2
516,828,4
521,662,3
9,916,2
504,11,5
330,828,4
520,33,4
531,33,4
531,11,5
531,45,5
532,11,2
531,118,5
531,828,5
531,2451,5
531,1099,4
531,4872,4
533,1714,4
533,848,4
533,3311,4
530,11,5
535,520,4
535,1205,5
535,9172,4
530,4473,3
516,1205,4
516,403,4
537,11,5
537,5863,2
537,33,4
488,662,4
488,33,3
537,2738,5
538,45,2
539,2284,3
539,33,3
539,11,3
539,662,4
539,378,4
302,7242,4
540,45,4
535,180,4
535,2852,3
530,828,5
530,2451,5
530,8367,3
530,436,5
542,3048,4
542,8516,3
542,1055,4
542,4716,3
542,520,2
542,2440,5
542,2403,4
458,662,3
246,33,4
546,118,3
547,33,5
547,118,4
547,1714,4
547,662,5
547,378,4
547,273,3
547,916,2
547,236,3
548,45,3
544,118,3
544,1487,5
550,33,4
550,5630,3
550,1586,5
267,273,5
549,8996,5
549,3540,5
549,6726,4
561,45,4
561,11,5
561,236,5
473,2967,4
473,6364,2
473,5037,4
473,33,4
473,45,4
566,33,4
566,662,4
566,378,5
566,1888,5
543,33,5
475,6727,3
463,118,4
564,378,4
564,662,3
564,436,4
564,45,3
564,430,3
574,11,4
574,33,4
574,45,4
578,11,5
578,520,5
578,380,4
578,1205,5
578,3828,4
578,1703,4
578,1915,4
578,9172,3
578,1270,4
578,3540,4
304,33,4
533,5297,3
583,916,5
583,2967,2
583,33,4
583,2942,4
580,6364,3
580,916,3
538,6885,3
533,436,2
513,403,3
513,2738,4
554,5297,3
499,828,4
578,430,5
578,33,4
585,11,3
585,436,4
585,2440,4
585,1055,5
585,45,3
585,378,3
590,8996,2
592,45,5
579,2980,4
199,45,3
264,5730,5
600,11,4
77,662,4
603,33,5
180,45,4
573,520,3
585,2462,4
599,916,5
608,1888,5
607,45,4
608,11,5
608,45,4
600,118,4
608,33,5
607,5630,4
607,3923,4
607,180,4
610,33,4
562,11,3
610,8789,4
605,2967,2
605,273,5
605,45,5
605,378,4
605,11,5
599,236,4
599,118,4
387,11,5
607,1099,5
607,380,3
607,1205,4
607,520,3
607,1915,3
607,9172,3
615,461,4
615,916,3
612,378,4
616,378,3
616,8789,3
539,436,5
539,1055,5
539,2440,5
539,8973,5
539,3156,4
619,2540,4
623,520,5
626,3106,5
628,11,5
634,9172,4
632,1586,3
634,45,4
635,11,4
635,45,4
167,5863,4
637,33,5
637,273,3
637,11,5
639,33,2
190,45,4
190,180,4
639,236,4
643,33,3
423,2284,4
651,5493,5
651,33,5
651,45,4
495,436,5
595,180,5
595,45,4
498,40,3
648,11,4
648,33,4
648,45,1
656,520,4
654,11,5
654,33,5
657,45,4
656,1055,5
656,1888,5
626,236,3
656,11,4
656,236,3
656,33,4
656,8355,2
658,45,5
394,45,4
653,180,3
84,4388,4
43,378,3
662,45,1
549,8838,3
549,436,4
585,118,3
486,378,5
486,45,3
670,2451,5
670,33,5
670,4473,1
679,9233,4
679,2594,3
647,33,4
647,11,4
488,916,3
488,436,3
488,403,3
462,1205,3
412,1205,3
684,33,4
684,378,4
684,916,5
684,236,4
684,1888,5
684,118,4
43,2967,3
412,828,3
412,2451,3
412,916,3
412,45,4
412,33,3
412,378,5
412,430,3
412,520,5
670,45,4
128,5932,4
670,11,4
349,520,4
349,662,4
349,45,4
624,5630,2
699,45,4
699,11,3
698,45,3
698,378,4
698,430,5
698,380,4
698,3540,4
579,67,4
698,11,4
698,662,4
698,180,4
698,1099,5
338,9078,4
349,1888,5
349,6364,3
698,520,4
239,436,4
706,3048,3
706,3156,3
663,11,4
663,236,3
349,2942,4
349,3776,3
349,3828,3
349,436,3
710,5630,3
712,11,5
712,33,5
712,45,5
706,11,3
706,378,3
706,662,4
706,2284,4
706,45,3
714,11,3
714,5448,3
714,1085,5
715,45,4
716,180,5
716,33,4
716,11,4
714,33,1
718,1055,5
699,662,4
699,378,4
699,8175,3
702,378,4
724,3156,4
724,8355,4
606,45,5
726,3106,4
726,11,4
726,45,3
725,118,4
725,2594,3
725,461,5
731,9978,3
264,5798,3
561,67,5
735,3172,4
735,5297,5
735,9025,4
735,1055,4
695,11,4
332,11,3
11,4057,4
11,378,4
738,403,4
735,180,3
330,180,4
735,2336,4
735,8973,4
744,118,3
744,1714,4
744,848,4
744,4057,5
744,3311,4
744,180,4
735,2738,4
714,2594,2
745,40,2
745,273,4
745,378,4
745,662,4
745,916,3
745,45,5
745,4473,4
745,2612,4
456,67,5
751,11,4
752,3631,3
752,11,5
697,11,5
697,378,4
697,33,5
759,33,2
759,45,5
759,11,3
760,45,5
714,1793,2
745,118,4
745,3311,3
745,1714,4
745,436,2
763,6322,3
763,2403,3
763,436,4
764,11,5
765,380,2
669,118,4
669,1714,3
765,45,3
740,11,4
740,45,4
764,723,5
682,33,5
769,33,5
769,11,5
769,67,5
770,11,4
770,1888,4
770,33,3
749,180,4
624,118,3
624,180,3
750,11,3
778,1586,5
658,180,4
779,33,2
756,118,3
779,11,4
763,916,2
790,11,4
177,67,5
795,33,4
797,11,5
797,33,5
797,45,4
779,430,4
779,180,4
297,7205,4
297,67,4
763,3143,3
802,11,5
802,236,5
803,9025,4
503,273,5
606,33,5
793,180,2
697,118,4
801,436,2
806,236,4
801,2612,4
809,3048,4
810,45,2
809,6144,4
813,33,4
813,916,3
392,45,5
109,3048,5
819,461,5
819,33,5
819,118,5
819,180,5
812,118,4
822,11,3
410,378,3
764,9111,5
342,45,4
342,11,5
480,5155,3
84,520,4
84,430,3
84,3540,4
84,1270,2
84,1282,4
809,1915,3
830,6144,3
830,5274,4
830,5630,3
816,180,5
763,3172,4
839,180,4
839,4602,1
580,40,2
764,4872,3
760,11,4
779,45,4
822,378,3
715,5437,3
715,4872,2
715,9743,4
839,1205,5
839,45,4
839,236,3
839,9978,3
850,3540,4
863,430,3
863,380,4
863,1205,4
863,1915,4
863,3540,4
863,1270,4
863,3828,4
863,1703,4
863,4388,4
25,378,4
866,3631,5
866,45,4
866,4118,3
866,7307,4
863,6364,3
871,2403,3
749,6364,3
875,11,5
875,378,4
875,180,3
750,45,4
861,33,1
870,118,2
879,45,3
880,33,3
881,67,5
863,1282,5
885,33,4
885,11,5
54,40,4
826,40,5
879,4602,5
885,436,2
169,11,5
900,33,1
900,1888,3
903,520,5
903,430,5
903,380,3
903,1205,4
903,1915,3
903,3540,2
903,3156,4
892,273,5
892,4250,3
892,378,4
788,11,5
595,11,4
595,9743,3
914,45,4
